"Index","Ticket","FixVersion"
"145","BOOKKEEPER-548","4.3.0"
"146","BOOKKEEPER-685","4.2.2"
"147","BOOKKEEPER-684","4.2.2"
"148","BOOKKEEPER-683","4.2.2"
"149","BOOKKEEPER-683","4.3.0"
"150","BOOKKEEPER-679","4.2.2"
"151","BOOKKEEPER-669","4.2.2"
"152","BOOKKEEPER-663","4.2.2"
"153","BOOKKEEPER-663","4.3.0"
"154","BOOKKEEPER-652","4.2.2"
"155","BOOKKEEPER-652","4.3.0"
"156","BOOKKEEPER-649","4.2.2"
"157","BOOKKEEPER-649","4.3.0"
"158","BOOKKEEPER-642","4.2.2"
"159","BOOKKEEPER-642","4.3.0"
"160","BOOKKEEPER-635","4.2.2"
"161","BOOKKEEPER-635","4.3.0"
"162","BOOKKEEPER-620","4.2.2"
"163","BOOKKEEPER-620","4.3.0"
"164","BOOKKEEPER-604","4.2.2"
"165","BOOKKEEPER-604","4.3.0"
"166","BOOKKEEPER-585","4.2.2"
"167","BOOKKEEPER-585","4.3.0"
"168","BOOKKEEPER-580","4.2.2"
"169","BOOKKEEPER-580","4.3.0"
"170","BOOKKEEPER-579","4.2.2"
"171","BOOKKEEPER-579","4.3.0"
"172","BOOKKEEPER-577","4.2.2"
"173","BOOKKEEPER-577","4.3.0"
"174","BOOKKEEPER-556","4.2.2"
"175","BOOKKEEPER-556","4.3.0"
"176","BOOKKEEPER-786","4.3.0"
"177","BOOKKEEPER-785","4.3.0"
"178","BOOKKEEPER-784","4.3.0"
"179","BOOKKEEPER-783","4.3.0"
"180","BOOKKEEPER-780","4.3.0"
"181","BOOKKEEPER-779","4.3.0"
"182","BOOKKEEPER-778","4.3.0"
"183","BOOKKEEPER-777","4.3.0"
"184","BOOKKEEPER-774","4.3.0"
"185","BOOKKEEPER-767","4.3.0"
"186","BOOKKEEPER-767","4.2.3"
"187","BOOKKEEPER-766","4.3.0"
"188","BOOKKEEPER-766","4.2.3"
"189","BOOKKEEPER-765","4.3.0"
"190","BOOKKEEPER-765","4.2.3"
"191","BOOKKEEPER-763","4.3.0"
"192","BOOKKEEPER-755","4.3.0"
"193","BOOKKEEPER-755","4.2.3"
"194","BOOKKEEPER-751","4.3.0"
"195","BOOKKEEPER-751","4.2.3"
"196","BOOKKEEPER-750","4.3.0"
"197","BOOKKEEPER-750","4.2.3"
"198","BOOKKEEPER-746","4.3.0"
"199","BOOKKEEPER-746","4.2.3"
"200","BOOKKEEPER-745","4.3.0"
"201","BOOKKEEPER-745","4.2.3"
"202","BOOKKEEPER-744","4.3.0"
"203","BOOKKEEPER-744","4.2.3"
"204","BOOKKEEPER-743","4.3.0"
"205","BOOKKEEPER-743","4.2.3"
"206","BOOKKEEPER-742","4.3.0"
"207","BOOKKEEPER-742","4.2.3"
"208","BOOKKEEPER-740","4.3.0"
"209","BOOKKEEPER-739","4.3.0"
"210","BOOKKEEPER-731","4.3.0"
"211","BOOKKEEPER-730","4.3.0"
"212","BOOKKEEPER-730","4.2.3"
"213","BOOKKEEPER-729","4.3.0"
"214","BOOKKEEPER-728","4.3.0"
"215","BOOKKEEPER-727","4.3.0"
"216","BOOKKEEPER-726","4.3.0"
"217","BOOKKEEPER-726","4.2.3"
"218","BOOKKEEPER-725","4.3.0"
"219","BOOKKEEPER-725","4.2.3"
"220","BOOKKEEPER-724","4.3.0"
"221","BOOKKEEPER-720","4.3.0"
"222","BOOKKEEPER-719","4.3.0"
"223","BOOKKEEPER-714","4.3.0"
"224","BOOKKEEPER-714","4.2.3"
"225","BOOKKEEPER-710","4.3.0"
"226","BOOKKEEPER-710","4.2.3"
"227","BOOKKEEPER-709","4.3.0"
"228","BOOKKEEPER-708","4.3.0"
"229","BOOKKEEPER-708","4.2.3"
"230","BOOKKEEPER-700","4.3.0"
"231","BOOKKEEPER-698","4.3.0"
"232","BOOKKEEPER-678","4.3.0"
"233","BOOKKEEPER-676","4.3.0"
"234","BOOKKEEPER-673","4.3.0"
"235","BOOKKEEPER-673","4.2.3"
"236","BOOKKEEPER-617","4.3.0"
"237","BOOKKEEPER-610","4.3.0"
"238","BOOKKEEPER-597","4.3.0"
"239","BOOKKEEPER-586","4.3.0"
"240","BOOKKEEPER-561","4.3.0"
"241","BOOKKEEPER-557","4.3.0"
"242","BOOKKEEPER-544","4.3.0"
"243","BOOKKEEPER-925","4.4.0"
"244","BOOKKEEPER-919","4.4.0"
"245","BOOKKEEPER-914","4.4.0"
"246","BOOKKEEPER-913","4.4.0"
"247","BOOKKEEPER-902","4.4.0"
"248","BOOKKEEPER-897","4.4.0"
"249","BOOKKEEPER-891","4.4.0"
"250","BOOKKEEPER-883","4.4.0"
"251","BOOKKEEPER-883","4.3.2"
"252","BOOKKEEPER-863","4.4.0"
"253","BOOKKEEPER-858","4.4.0"
"254","BOOKKEEPER-854","4.4.0"
"255","BOOKKEEPER-854","4.3.1"
"256","BOOKKEEPER-840","4.4.0"
"257","BOOKKEEPER-840","4.3.1"
"258","BOOKKEEPER-839","4.4.0"
"259","BOOKKEEPER-839","4.3.1"
"260","BOOKKEEPER-838","4.4.0"
"261","BOOKKEEPER-838","4.3.1"
"262","BOOKKEEPER-835","4.4.0"
"263","BOOKKEEPER-835","4.3.1"
"264","BOOKKEEPER-834","4.4.0"
"265","BOOKKEEPER-834","4.3.1"
"266","BOOKKEEPER-833","4.4.0"
"267","BOOKKEEPER-833","4.3.1"
"268","BOOKKEEPER-831","4.4.0"
"269","BOOKKEEPER-828","4.4.0"
"270","BOOKKEEPER-823","4.4.0"
"271","BOOKKEEPER-803","4.4.0"
"272","BOOKKEEPER-802","4.4.0"
"273","BOOKKEEPER-801","4.4.0"
"274","BOOKKEEPER-794","4.4.0"
"275","BOOKKEEPER-793","4.4.0"
"276","BOOKKEEPER-769","4.4.0"
"277","BOOKKEEPER-665","4.4.0"
"278","BOOKKEEPER-594","4.4.0"
