"Date","Class","LinesAdded","LinesDeleted","LinesTouched","Index","Sum"
"2012-05-26 19:16","PerChannelBookieClient.java","12557","35453","48010","1","96020"
"2014-01-09 07:30","PerChannelBookieClient.java","18986","142630","161616","6","323232"
"2017-06-30 00:12","PerChannelBookieClient.java","40529","126708","167237","","334474"
"2014-05-27 13:56","PerChannelBookieClient.java","19217","149811","169028","7","338056"
"2017-07-04 06:27","PerChannelBookieClient.java","40545","128685","169230","","338460"
"2012-07-23 23:39","PerChannelBookieClient.java","13977","48197","62174","2","124348"
"2012-08-13 11:38","PerChannelBookieClient.java","14328","54443","68771","2","137542"
"2011-11-17 11:16","PerChannelBookieClient.java","2950","5288","8238","","16476"
"2011-10-27 15:41","PerChannelBookieClient.java","128","576","704","","1408"
"2017-01-31 04:01","PerChannelBookieClient.java","40290","109656","149946","","299892"
"2015-10-06 10:05","PerChannelBookieClient.java","19467","163998","183465","","366930"
"2016-04-05 18:47","PerChannelBookieClient.java","40190","87018","127208","","254416"
"2012-02-01 12:06","PerChannelBookieClient.java","4415","12432","16847","1","33694"
"2011-11-16 17:05","PerChannelBookieClient.java","2716","4411","7127","","14254"
"2017-04-15 13:58","PerChannelBookieClient.java","40278","115336","155614","","311228"
"2017-05-15 19:52","PerChannelBookieClient.java","40436","118148","158584","","317168"
"2012-12-01 15:04","PerChannelBookieClient.java","17074","90281","107355","2","214710"
"2016-04-05 08:45","PerChannelBookieClient.java","40188","86774","126962","","253924"
"2017-07-28 20:12","PerChannelBookieClient.java","40781","133515","174296","","348592"
"2017-01-31 02:14","PerChannelBookieClient.java","40278","104175","144453","","288906"
"2017-03-28 22:35","PerChannelBookieClient.java","40275","114233","154508","","309016"
"2017-03-23 00:48","PerChannelBookieClient.java","40284","109990","150274","","300548"
"2013-01-10 19:13","PerChannelBookieClient.java","17741","98259","116000","2","232000"
"2014-07-25 00:34","PerChannelBookieClient.java","19397","156856","176253","","352506"
"2012-02-24 20:07","PerChannelBookieClient.java","4737","17519","22256","1","44512"
"2011-11-18 11:18","PerChannelBookieClient.java","3574","7200","10774","","21548"
"2017-08-02 00:49","PerChannelBookieClient.java","41169","147515","188684","","377368"
"2012-04-02 12:38","PerChannelBookieClient.java","11798","31572","43370","1","86740"
"2017-06-21 19:58","PerChannelBookieClient.java","40534","123569","164103","","328206"
"2017-06-01 23:58","PerChannelBookieClient.java","40515","121420","161935","","323870"
"2013-10-29 05:14","PerChannelBookieClient.java","18979","140492","159471","6","318942"
"2013-06-28 17:27","PerChannelBookieClient.java","18831","137045","155876","5","311752"
"2014-02-21 19:01","PerChannelBookieClient.java","19190","146232","165422","7","330844"
"2014-02-05 22:43","PerChannelBookieClient.java","19158","145037","164195","7","328390"
"2017-04-20 19:55","PerChannelBookieClient.java","40279","115358","155637","","311274"
"2013-09-11 00:34","PerChannelBookieClient.java","18866","138542","157408","5","314816"
"2013-08-20 12:51","PerChannelBookieClient.java","18859","138248","157107","5","314214"
"2014-12-10 19:43","ReadOnlyBookieTest.java","1949","11577","13526","","27052"
"2016-03-08 06:49","ReadOnlyBookieTest.java","3369","19236","22605","","45210"
"2016-04-14 00:51","ReadOnlyBookieTest.java","107666","22907","130573","","261146"
"2016-04-07 21:39","ReadOnlyBookieTest.java","107653","22853","130506","","261012"
"2017-05-02 23:04","HierarchicalLedgerManager.java","111667","75069","186736","","373472"
"2017-05-12 16:39","HierarchicalLedgerManager.java","111682","75764","187446","","374892"
"2014-01-17 18:13","HierarchicalLedgerManager.java","2537","13897","16434","6","32868"
"2015-03-12 08:21","AuditorPeriodicCheckTest.java","7016","70430","77446","","154892"
