"Class","Index","Max","Avg"
"HierarchicalLedgerManager.java","1","0","0"
"MultipleThreadReadTest.java","2","0","0"
"AuthHandler.java","6","2","1"
"ZooKeeperUtil.java","6","0","0"
"LedgerManagerIteratorTest.java","4","0","0"
"ZooKeeperUtil.java","1","9","0"
"AuthHandler.java","1","0","0"
"ZooKeeperUtil.java","2","0","0"
"ServerConfiguration.java","1","19","0"
"TGTRefreshThread.java","5","10","0"
"ServerConfiguration.java","2","5","0"
"CreateNewLogTest.java","2","4","0"
"ReadEntryProcessorV3.java","2","9","0"
"ServerConfiguration.java","4","0","0"
"ServerConfiguration.java","6","7","0"
"LedgerHandleAdv.java","4","0","0"
"LedgerHandleAdv.java","2","0","0"
"Feature.java","5","6","3"
"ExponentialBackoffRetryPolicy.java","6","7","3"
"AutoRecoveryMain.java","1","0","0"
"BookKeeperAdmin.java","2","3","0"
"BookKeeperAdmin.java","1","0","0"
"AutoRecoveryMain.java","2","3","0"
"PendingReadOp.java","6","8","0"
"PendingReadOp.java","1","1","0"
"LocalBookiesRegistryTest.java","1","1","0"
"IndexCorruptionTest.java","2","0","0"
"BookKeeperAdmin.java","5","1","0"
"AutoRecoveryMain.java","6","7","3"
"PendingReadOp.java","2","0","0"
"PerChannelBookieClientFactory.java","5","5","0"
"ReadLastConfirmedOp.java","1","8","0"
"ReadLastConfirmedOp.java","2","2","0"
"ReadLastConfirmedOp.java","5","0","0"
"ClientConfiguration.java","1","3","0"
"ClientConfiguration.java","2","12","0"
"JournalChannel.java","2","1","1"
"Journal.java","1","0","0"
"CookieTest.java","1","2","0"
"Journal.java","2","0","0"
"JournalChannel.java","6","7","7"
"Journal.java","5","6","0"
"TestDelayEnsembleChange.java","2","16","2"
"Journal.java","6","0","0"
"TestZkUtils.java","2","4","0"
"BookieProtoEncoding.java","1","0","0"
"SecurityProviderFactoryFactory.java","1","23","0"
"Value.java","2","15","0"
"TestReadEntryListener.java","5","3","0"
"CompactionTest.java","5","11","0"
"CompactionTest.java","6","1","0"
"Version.java","2","27","0"
"TestRackawareEnsemblePlacementPolicyUsingScript.java","2","0","0"
"CompactionTest.java","1","8","0"
"TestAutoRecoveryAlongWithBookieServers.java","2","6","0"
"CompactionTest.java","2","2","0"
"UpdateCookieCmdTest.java","2","1","0"
"EntryLogger.java","1","11","0"
"HardLink.java","1","0","0"
"EntryLogger.java","2","0","0"
"BookieWriteLedgerTest.java","2","1","0"
"EntryLogger.java","6","0","0"
"BookieShutdownTest.java","5","1","0"
"BookieShutdownTest.java","6","0","0"
"AuditorBookieTest.java","2","3","0"
"BookKeeperConstants.java","2","3","3"
"ZkLedgerLayoutTest.java","4","6","0"
"LedgerCreateDeleteTest.java","1","0","0"
"BenchReadThroughputLatency.java","1","3","0"
"BookkeeperInternalCallbacks.java","2","0","0"
"BookkeeperInternalCallbacks.java","5","22","22"
"LedgerLayout.java","2","14","7"
"BookKeeperTest.java","1","0","0"
"BookKeeper.java","5","51","0"
"Auditor.java","2","5","0"
"ResponseBuilder.java","4","2","0"
"LedgerDirsManager.java","5","2","0"
"Auditor.java","1","7","0"
"BookKeeperTest.java","2","3","0"
"BookKeeper.java","1","2","0"
"BookKeeperTest.java","5","2","0"
"Auditor.java","6","2","0"
"GarbageCollector.java","2","18","0"
"BookKeeper.java","2","2","0"
"BookieShell.java","1","0","0"
"BookieShell.java","2","1","0"
"ExplicitLacFlushPolicy.java","1","1","0"
"FlatLedgerManagerFactory.java","2","11","0"
"BookieShell.java","4","1","0"
"BookieShell.java","5","0","0"
"BookieShell.java","6","0","0"
"PacketProcessorBase.java","5","19","0"
"GrowableArrayBlockingQueueTest.java","4","1","0"
"TryReadLastConfirmedOp.java","2","2","0"
"AuditorPeriodicBookieCheckTest.java","2","3","0"
"LedgerHandle.java","6","17","0"
"LedgerHandle.java","5","3","0"
"CodahaleOpStatsTest.java","5","0","0"
"LedgerHandle.java","2","6","0"
"LedgerHandle.java","1","18","0"
"Bookie.java","2","9","0"
"Bookie.java","1","5","0"
"TestBookieWatcher.java","2","4","0"
"Bookie.java","6","4","0"
"Bookie.java","4","0","0"
"LocalBookieEnsemblePlacementPolicy.java","6","0","0"
"LocalBookieEnsemblePlacementPolicy.java","1","1","0"
"LedgerMetadataCreationTest.java","5","0","0"
"GarbageCollectorThread.java","1","0","0"
"LedgerMetadataImpl.java","2","5","0"
"GarbageCollectorThread.java","2","0","0"
"GarbageCollectorThread.java","4","0","0"
"LedgerMetadataImpl.java","5","4","0"
"GarbageCollectorThread.java","5","3","0"
"GarbageCollectorThread.java","6","1","0"
"LedgerCache.java","2","10","0"
"LedgerRecoveryTest.java","4","3","0"
"LedgerCache.java","1","2","0"
"LedgerRecoveryTest.java","2","4","0"
"LedgerRecoveryTest.java","1","2","0"
"BookKeeperServerStats.java","2","1","0"
"BookKeeperServerStats.java","5","3","0"
"TestTryReadLastConfirmed.java","2","0","0"
"ConcurrentOpenHashMap.java","2","11","0"
"NoSystemPropertiesConfigurationTest.java","6","1","0"
"LedgerRecoveryOp.java","6","0","0"
"InMemoryMetastoreTable.java","2","3","0"
"InMemoryMetastoreTable.java","5","2","0"
"PendingAddOp.java","2","1","0"
"AlertStatsLogger.java","1","0","0"
"LedgerStorage.java","1","6","0"
"ScanAndCompareGarbageCollector.java","1","12","0"
"ScriptBasedMapping.java","5","20","0"
"BookKeeperClusterTestCase.java","2","4","0"
"BookKeeperClusterTestCase.java","5","16","8"
"ScriptBasedMapping.java","2","12","0"
"CachingStatsProvider.java","1","5","0"
"AbstractZkLedgerManager.java","6","9","9"
"TestPerChannelBookieClient.java","2","14","0"
"AbstractZkLedgerManager.java","4","0","0"
"TestDiskChecker.java","2","11","0"
"AbstractZkLedgerManager.java","2","6","0"
"AbstractZkLedgerManager.java","1","0","0"
