"Date","Class","MAXLOC","AVGLOC","Index"
"2014-02-05 22:43","TestBenchmark.java","20163","0","7"
"2013-10-11 08:36","AuditorPeriodicCheckTest.java","4131","23","6"
"2017-06-05 20:30","BookieInitializationTest.java","119088","17",""
"2017-05-25 14:23","ClientUtil.java","112626","0",""
"2014-02-05 22:43","AuditorPeriodicCheckTest.java","5815","23","7"
"2013-05-31 12:02","AuditorPeriodicCheckTest.java","2855","23","5"
"2013-01-10 19:13","AuditorPeriodicCheckTest.java","635","0","2"
"2013-10-29 05:14","BookieClient.java","18980","23","6"
"2014-02-05 22:43","BookieClient.java","19159","23","7"
"2017-07-28 20:12","BookieAuthProvider.java","14572","9",""
"2017-05-16 00:31","LedgerCloseTest.java","113794","12",""
"2013-02-12 11:16","BookieProtocol.java","18714","140","4"
"2013-10-22 16:21","HandleFactoryImpl.java","14587","36","6"
"2012-04-17 12:18","HandleFactoryImpl.java","646","0","1"
"2012-10-18 16:40","BookieProtocol.java","16868","140","2"
"2012-05-25 17:13","BookieProtocol.java","12570","29","1"
"2017-03-23 15:58","LocalBookiesRegistry.java","6809","10",""
"2017-05-15 19:52","RequestProcessor.java","112690","0",""
"2014-02-05 22:43","EnsemblePlacementPolicy.java","3504","0","7"
"2017-06-01 23:58","IndexInMemPageMgr.java","141104","-332",""
"2012-01-13 18:06","BookieClientTest.java","4405","7","1"
"2016-09-10 21:01","UpdateLedgerOpTest.java","110237","0",""
"2014-02-05 22:43","BookieClientTest.java","19260","1","7"
"2014-02-05 22:43","BookieWatcher.java","3504","0","7"
"2013-10-12 05:42","BookieClientTest.java","18974","1","6"
"2017-07-28 20:12","LedgerChecker.java","114568","224",""
"2012-12-18 13:04","LedgerDescriptorImpl.java","11114","-260","2"
"2012-04-17 12:18","LedgerDescriptorImpl.java","646","0","1"
"2012-09-07 07:04","HierarchicalLedgerManagerFactory.java","4844","0","2"
"2017-06-01 11:42","LedgerOutputStream.java","40823","7",""
"2015-10-06 10:05","BookieClientTest.java","115554","268",""
"2016-11-18 00:44","BookieWatcher.java","112234","0",""
"2014-07-24 01:41","ConditionalSetTest.java","19449","0",""
"2017-05-02 23:04","HierarchicalLedgerManagerFactory.java","111956","189",""
"2017-06-05 22:25","LedgerDescriptorImpl.java","82514","9",""
"2014-02-21 19:01","LedgerChecker.java","11104","250","7"
"2017-07-28 20:12","ReadLastConfirmedAndEntryOp.java","1802","0",""
"2017-06-01 23:58","SASLClientProviderFactory.java","1148","0",""
"2013-10-29 05:14","LedgerCloseTest.java","2363","0","6"
"2017-03-28 22:37","HandleFactoryImpl.java","111701","0",""
"2014-02-05 22:43","LedgerCloseTest.java","3706","11","7"
"2016-11-09 08:49","ZeroBuffer.java","111511","0",""
"2017-06-05 22:25","BookieProtocol.java","112641","141",""
