"Class","Index","ChgSetSize"
"PerChannelBookieClient.java","5","5"
"LedgerCacheTest.java","4","0"
"BookieRequestHandler.java","4","5"
"BookieShutdownTest.java","5","1"
"CodahaleOpStatsTest.java","5","0"
"LedgerRecoveryOp.java","6","0"
"TestReplicationWorker.java","2","5"
"ZkLedgerLayoutTest.java","4","6"
"RoundRobinDistributionSchedule.java","1","1"
"Journal.java","2","0"
"BookieShutdownTest.java","6","0"
"LedgerManagerFactory.java","1","15"
"ReplicationException.java","2","0"
"AuditorElector.java","4","0"
"BookkeeperInternalCallbacks.java","2","0"
"AutoRecoveryMain.java","2","3"
"ReplicationWorker.java","6","0"
"PerChannelBookieClient.java","5","1"
"IndexPersistenceMgrTest.java","6","12"
"ServerConfiguration.java","1","4"
"BookieClientTest.java","1","0"
"BookKeeperTest.java","5","2"
"ServerConfiguration.java","6","6"
"LedgerHandle.java","5","3"
"MultipleThreadReadTest.java","1","0"
"IndexCorruptionTest.java","2","0"
"FlatLedgerManagerFactory.java","2","11"
"GcLedgersTest.java","5","1"
"BookKeeperCloseTest.java","1","0"
"ServerConfiguration.java","6","3"
"LedgerHandle.java","2","2"
"ReadLastConfirmedOp.java","2","2"
"CodahaleMetricsProvider.java","2","0"
"ZooKeeperWatcherBase.java","2","2"
"InMemoryMetastoreTable.java","5","2"
"LedgerHandle.java","2","1"
"CookieTest.java","1","2"
"AuditorBookieTest.java","2","3"
"BookieServer.java","6","1"
"ReplicationException.java","2","2"
"BookieRecoveryTest.java","5","1"
"PerChannelBookieClient.java","5","1"
"ZkLedgerUnderreplicationManager.java","2","1"
"ServerConfiguration.java","4","0"
"ZkLedgerUnderreplicationManager.java","2","2"
"ServerConfiguration.java","4","0"
"BookieServer.java","6","8"
"LedgerManagerFactory.java","1","17"
"BookKeeperCloseTest.java","2","1"
"FileInfo.java","2","1"
"LedgerManagerTestCase.java","2","25"
"ClientConfiguration.java","1","3"
"LedgerHandle.java","1","2"
"UpdateCookieCmdTest.java","2","1"
"ZkLedgerUnderreplicationManager.java","4","7"
"PerChannelBookieClient.java","5","11"
"DiskChecker.java","2","4"
"MultipleThreadReadTest.java","2","0"
"BookieNettyServer.java","6","4"
"BookieServer.java","1","47"
"AuditorBookieTest.java","2","0"
"LocalBookieEnsemblePlacementPolicy.java","6","0"
"Auditor.java","6","2"
"BookieJournalTest.java","6","21"
"TestTryReadLastConfirmed.java","2","0"
"FileInfo.java","6","6"
"CodahaleMetricsProvider.java","5","0"
"TestLedgerChecker.java","2","0"
"FileInfo.java","6","9"
"GarbageCollectorThread.java","4","0"
"BookKeeperTest.java","2","3"
"TestLedgerUnderreplicationManager.java","2","1"
"Journal.java","1","0"
"ZkLedgerUnderreplicationManager.java","2","0"
"BookieFailureTest.java","2","3"
"MacDigestManager.java","6","2"
"BookieProtocol.java","2","1"
"ReadOnlyBookieTest.java","6","6"
"FileSystemUpgrade.java","2","2"
"Journal.java","5","6"
"AsyncCallback.java","5","3"
"TestBenchmark.java","5","3"
"PendingAddOp.java","2","1"
"BookieServer.java","5","0"
"BookieInitializationTest.java","5","2"
"LedgerHandle.java","6","17"
"ServerConfiguration.java","6","7"
"BookieRecoveryTest.java","2","47"
"LedgerHandle.java","2","2"
"LedgerCacheTest.java","2","0"
"BookieShell.java","5","0"
"LedgerHandle.java","2","0"
"AuditorPeriodicBookieCheckTest.java","2","3"
"Journal.java","2","0"
"BenchThroughputLatency.java","6","0"
"ServerConfiguration.java","1","9"
"LedgerCloseTest.java","5","1"
"ZkLedgerUnderreplicationManager.java","5","1"
"BookieReadWriteTest.java","2","0"
"BookKeeperClusterTestCase.java","2","2"
"ReadLacProcessorV3.java","1","32"
"AbstractZkLedgerManager.java","4","0"
"AbstractZkLedgerManager.java","1","0"
"PendingReadOp.java","1","1"
"LocalBookieEnsemblePlacementPolicy.java","1","1"
"InMemoryMetastoreCursor.java","5","7"
"TestFencing.java","1","6"
"BookieRecoveryTest.java","2","0"
"BookKeeperClusterTestCase.java","2","3"
"EntryLogger.java","1","1"
"PerChannelBookieClient.java","1","0"
"InterleavedLedgerStorage.java","1","0"
"ReadOnlyBookieTest.java","2","0"
"TestClient.java","1","4"
"ServerConfiguration.java","6","1"
"AbstractConfiguration.java","2","3"
"ConfigurationTest.java","1","0"
"BookKeeper.java","2","2"
"TestPerChannelBookieClient.java","2","1"
"ReplicationException.java","1","8"
"CreateNewLogTest.java","2","1"
"TestDiskChecker.java","2","11"
"EntryLogger.java","1","11"
"ZooKeeperUtil.java","2","0"
"LedgerRecoveryTest.java","2","0"
"SecurityProviderFactoryFactory.java","1","23"
"UpgradeTest.java","2","4"
"LedgerCacheTest.java","2","2"
"Bookie.java","6","0"
"BKException.java","2","2"
"BookieRecoveryTest.java","2","2"
"TestLedgerManager.java","2","0"
"TestClient.java","1","1"
"EntryLogger.java","2","0"
"ConditionalSetTest.java","2","23"
"GarbageCollectorThread.java","1","0"
"LedgerMetadataCreationTest.java","5","0"
"BookKeeperDiskSpaceWeightedLedgerPlacementTest.java","2","3"
"ScriptBasedMapping.java","2","12"
"BookieInitializationTest.java","6","0"
"ServerConfiguration.java","1","19"
"ScriptBasedMapping.java","5","20"
"TestAutoRecoveryAlongWithBookieServers.java","2","6"
"BookKeeperTest.java","2","0"
"BookKeeperServerStats.java","5","3"
"ReplicationWorker.java","2","1"
"ZooKeeperUtil.java","1","0"
"TestBKStats.java","2","0"
"EntryLogger.java","1","6"
"BookieServer.java","5","0"
"TestPerChannelBookieClient.java","2","0"
"BookieShell.java","4","1"
"EntryLogger.java","6","0"
"CookieTest.java","1","0"
"PendingReadOp.java","6","8"
"ReflectionUtils.java","2","0"
"LedgerCreateDeleteTest.java","1","0"
"PacketProcessorBase.java","5","19"
"ResponseBuilder.java","4","2"
"CodahaleStatsLogger.java","6","2"
"ClientConfiguration.java","2","3"
"BookieServer.java","1","0"
"IndexInMemPageMgr.java","1","1"
"Bookie.java","1","0"
"BookieWriteLedgerTest.java","2","1"
"InMemoryMetastoreTable.java","2","3"
"Version.java","2","0"
"BookieJournalRollingTest.java","1","2"
"CodahaleMetricsProvider.java","2","4"
"ReadOnlyLedgerHandle.java","2","3"
"TestFencing.java","5","0"
"CompactionTest.java","2","2"
"BookKeeperTest.java","2","1"
"LedgerRecoveryTest.java","4","3"
"PerChannelBookieClient.java","2","12"
"PerChannelBookieClient.java","5","2"
"ReadOnlyBookieTest.java","4","0"
"GarbageCollector.java","2","18"
"LedgerMetadataImpl.java","5","4"
"Journal.java","5","4"
"CompactionTest.java","5","11"
"LedgerMetadataImpl.java","2","5"
"ServerConfiguration.java","6","4"
"LedgerDirsManager.java","5","2"
"PendingReadOp.java","2","0"
"Version.java","2","27"
"Bookie.java","2","0"
"Value.java","2","15"
"PerChannelBookieClient.java","6","0"
"BookKeeper.java","5","2"
"ReplicationWorker.java","2","4"
"MSLedgerManagerFactory.java","2","5"
"Bookie.java","2","2"
"BookieFailureTest.java","2","1"
"LedgerManagerIteratorTest.java","4","0"
"BookieServer.java","2","9"
"BenchBookie.java","1","0"
"BookieServer.java","2","0"
"ClientConfiguration.java","2","12"
"GarbageCollectorThread.java","2","0"
"TestDiskChecker.java","2","0"
"BookieRecoveryTest.java","1","0"
"LocalBookiesRegistryTest.java","1","1"
"BookKeeper.java","5","51"
"ExplicitLacFlushPolicy.java","1","1"
"Bookie.java","2","9"
"Auditor.java","2","5"
"MacDigestManager.java","1","2"
"BenchReadThroughputLatency.java","1","3"
"LedgerHandle.java","2","1"
"CompactionTest.java","1","5"
"BookKeeper.java","1","2"
"BookieReadWriteTest.java","1","2"
"ZooKeeperUtil.java","1","9"
"ClientUtil.java","1","2"
"LedgerCacheTest.java","1","0"
"FileSystemUpgrade.java","2","1"
"TestFencing.java","1","0"
"ScanAndCompareGarbageCollector.java","1","12"
"TGTRefreshThread.java","5","10"
"LedgerRecoveryTest.java","1","2"
"AuditorElector.java","2","3"
"ReadLastConfirmedOp.java","1","8"
"LedgerManager.java","1","1"
"TestClient.java","2","0"
"TestLedgerUnderreplicationManager.java","2","2"
"TestFencing.java","1","6"
"BookieRecoveryTest.java","2","0"
"BookKeeperAdmin.java","5","1"
"TestLedgerUnderreplicationManager.java","2","0"
"PerChannelBookieClient.java","1","0"
"FileInfo.java","1","3"
"TestLedgerUnderreplicationManager.java","2","0"
"BookieProtocol.java","1","11"
"ReadLastConfirmedOp.java","2","0"
"MetastoreUtils.java","2","0"
"TestEntryLog.java","1","0"
"EntryLogger.java","1","0"
"AbstractConfiguration.java","1","0"
"TestReplicationWorker.java","2","1"
"BookKeeperAdmin.java","2","1"
"BKException.java","2","3"
"BookKeeperClusterTestCase.java","2","1"
"FlatLedgerManagerFactory.java","2","5"
"TestFencing.java","6","0"
"TestLedgerChecker.java","2","4"
"BookKeeperAdmin.java","2","3"
"LedgerDirsManagerTest.java","2","1"
"EntryLogger.java","1","1"
"ServerConfiguration.java","2","0"
"AuditorLedgerCheckerTest.java","2","9"
"UpgradeTest.java","1","6"
"GcLedgersTest.java","1","4"
"HierarchicalLedgerManager.java","1","0"
"LedgerStorage.java","1","6"
"LedgerCacheTest.java","1","0"
"BookKeeperAdmin.java","2","2"
"FileInfo.java","1","0"
"ConcurrentLedgerTest.java","1","3"
"TestEntryLog.java","1","1"
"EntryFormatter.java","6","9"
"CompactionTest.java","1","8"
"HardLink.java","1","0"
"LedgerCache.java","1","2"
"TestEntryLog.java","1","1"
"TestBenchmark.java","1","1"
"BookieJournalTest.java","1","1"
"ConcurrentLedgerTest.java","1","3"
"ServerConfiguration.java","1","0"
"AuditorElector.java","2","7"
"UpgradeTest.java","1","1"
"BookieInitializationTest.java","2","2"
"ClientConfiguration.java","1","0"
"Bookie.java","1","1"
"Bookie.java","1","5"
"BookKeeper.java","1","0"
"ServerConfiguration.java","1","1"
