"Index","Class","Size","Age","NumberOfAuthors","Sum","MaxChg","AvgChg","MaxLoc","AvgLoc","ChgSetSize","Bugginess"
"12","NettyServerCnxnTest.java","330","403","8","0","0","0","0","0","0","YES"
"19","ServerBean.java","39","359","3","0","0","0","0","0","0","NO"
"13","NettyServerCnxnTest.java","330","403","8","0","0","0","0","0","0","YES"
"14","NettyServerCnxnTest.java","330","400","8","0","0","0","0","0","0","NO"
"15","NettyServerCnxnTest.java","330","398","8","0","0","0","0","0","0","NO"
"16","NettyServerCnxnTest.java","330","391","8","0","0","0","0","0","0","NO"
"17","NettyServerCnxnTest.java","330","386","8","0","0","0","0","0","0","NO"
"18","NettyServerCnxnTest.java","330","367","8","0","0","0","0","0","0","NO"
"12","ServerBean.java","39","403","3","0","0","0","0","0","0","NO"
"19","NettyServerCnxnTest.java","330","359","8","0","0","0","0","0","0","NO"
"11","ServerBean.java","39","441","3","0","0","0","0","0","0","NO"
"14","ServerBean.java","39","400","3","0","0","0","0","0","0","NO"
"13","ServerBean.java","39","403","3","0","0","0","0","0","0","NO"
"16","ServerBean.java","39","391","3","0","0","0","0","0","0","NO"
"15","ServerBean.java","39","398","3","0","0","0","0","0","0","NO"
"18","ServerBean.java","39","367","3","0","0","0","0","0","0","NO"
"17","ServerBean.java","39","386","3","0","0","0","0","0","0","NO"
"7","FileTxnLog.java","838","504","24","204140","1","0","109672","7","1","YES"
"16","StatResetCommandTest.java","111","391","3","0","0","0","0","0","0","NO"
"6","FileTxnLog.java","838","519","24","0","0","0","0","0","0","NO"
"15","StatResetCommandTest.java","111","398","3","0","0","0","0","0","0","NO"
"5","FileTxnLog.java","838","527","24","144940","0","0","83244","-14","0","YES"
"18","StatResetCommandTest.java","111","367","3","0","0","0","0","0","0","NO"
"4","FileTxnLog.java","838","542","24","121584","0","0","72814","19","0","NO"
"17","StatResetCommandTest.java","111","386","3","0","0","0","0","0","0","NO"
"3","FileTxnLog.java","838","548","24","53474","0","0","41172","25","0","NO"
"12","StatResetCommandTest.java","111","403","3","0","0","0","0","0","0","NO"
"2","FileTxnLog.java","838","558","24","25090","4","0","23002","-26","0","NO"
"11","StatResetCommandTest.java","111","441","3","0","0","0","0","0","0","NO"
"1","FileTxnLog.java","838","563","24","0","0","0","0","0","0","YES"
"14","StatResetCommandTest.java","111","400","3","0","0","0","0","0","0","NO"
"13","StatResetCommandTest.java","111","403","3","0","0","0","0","0","0","NO"
"19","StatResetCommandTest.java","111","359","3","0","0","0","0","0","0","NO"
"9","FileTxnLog.java","838","482","24","0","0","0","0","0","0","NO"
"8","FileTxnLog.java","838","490","24","0","4","0","0","0","4","NO"
"10","ReconfigMisconfigTest.java","134","457","4","0","0","0","0","0","0","NO"
"19","ReconfigMisconfigTest.java","134","359","4","0","0","0","0","0","0","NO"
"16","ReconfigMisconfigTest.java","134","391","4","0","0","0","0","0","0","NO"
"15","ReconfigMisconfigTest.java","134","398","4","0","0","0","0","0","0","NO"
"18","ReconfigMisconfigTest.java","134","367","4","0","0","0","0","0","0","NO"
"17","ReconfigMisconfigTest.java","134","386","4","0","0","0","0","0","0","NO"
"12","ReconfigMisconfigTest.java","134","403","4","0","0","0","0","0","0","NO"
"11","ReconfigMisconfigTest.java","134","441","4","0","0","0","0","0","0","NO"
"14","ReconfigMisconfigTest.java","134","400","4","0","0","0","0","0","0","NO"
"13","ReconfigMisconfigTest.java","134","403","4","0","0","0","0","0","0","NO"
"2","SaslClientTest.java","63","558","2","0","0","0","0","0","0","NO"
"3","SaslClientTest.java","63","548","2","0","0","0","0","0","0","NO"
"19","WatcherOrBitSet.java","62","359","2","0","0","0","0","0","0","NO"
"1","SaslClientTest.java","63","563","2","0","0","0","0","0","0","NO"
"6","SaslClientTest.java","63","519","2","0","0","0","0","0","0","NO"
"7","SaslClientTest.java","63","504","2","0","0","0","0","0","0","NO"
"4","SaslClientTest.java","63","542","2","0","0","0","0","0","0","NO"
"5","SaslClientTest.java","63","527","2","0","0","0","0","0","0","NO"
"13","WatcherOrBitSet.java","62","403","2","0","0","0","0","0","0","NO"
"14","WatcherOrBitSet.java","62","400","2","0","0","0","0","0","0","NO"
"8","SaslClientTest.java","63","490","2","0","0","0","0","0","0","NO"
"11","WatcherOrBitSet.java","62","441","2","0","0","0","0","0","0","NO"
"9","SaslClientTest.java","63","482","2","0","0","0","0","0","0","NO"
"12","WatcherOrBitSet.java","62","403","2","0","0","0","0","0","0","NO"
"17","WatcherOrBitSet.java","62","386","2","0","0","0","0","0","0","NO"
"18","WatcherOrBitSet.java","62","367","2","0","0","0","0","0","0","NO"
"15","WatcherOrBitSet.java","62","398","2","0","0","0","0","0","0","NO"
"16","WatcherOrBitSet.java","62","391","2","0","0","0","0","0","0","NO"
"8","ClientCnxnLimitException.java","32","490","3","0","0","0","0","0","0","NO"
"9","ClientCnxnLimitException.java","32","482","3","0","0","0","0","0","0","NO"
"10","StandaloneTest.java","158","457","6","0","0","0","0","0","0","NO"
"19","QuorumPeerMainMultiAddressTest.java","334","374","1","0","0","0","0","0","0","NO"
"2","ClientCnxnLimitException.java","32","558","3","0","0","0","0","0","0","NO"
"18","QuorumPeerMainMultiAddressTest.java","334","382","1","0","0","0","0","0","0","NO"
"3","ClientCnxnLimitException.java","32","548","3","0","0","0","0","0","0","NO"
"17","QuorumPeerMainMultiAddressTest.java","334","401","1","0","0","0","0","0","0","NO"
"16","QuorumPeerMainMultiAddressTest.java","334","406","1","0","0","0","0","0","0","NO"
"1","ClientCnxnLimitException.java","32","563","3","0","0","0","0","0","0","NO"
"15","QuorumPeerMainMultiAddressTest.java","334","413","1","0","0","0","0","0","0","NO"
"6","ClientCnxnLimitException.java","32","519","3","0","0","0","0","0","0","NO"
"14","QuorumPeerMainMultiAddressTest.java","334","415","1","0","0","0","0","0","0","NO"
"7","ClientCnxnLimitException.java","32","504","3","0","0","0","0","0","0","NO"
"13","QuorumPeerMainMultiAddressTest.java","334","417","1","0","0","0","0","0","0","NO"
"4","ClientCnxnLimitException.java","32","542","3","0","0","0","0","0","0","NO"
"12","QuorumPeerMainMultiAddressTest.java","334","418","1","0","0","0","0","0","0","NO"
"5","ClientCnxnLimitException.java","32","527","3","0","0","0","0","0","0","NO"
"11","QuorumPeerMainMultiAddressTest.java","334","456","1","0","0","0","0","0","0","NO"
"10","QuorumPeerMainMultiAddressTest.java","334","472","1","0","0","0","0","0","0","NO"
"19","StandaloneTest.java","158","359","6","0","0","0","0","0","0","NO"
"8","KeyAuthClientTest.java","131","490","2","0","0","0","0","0","0","NO"
"9","KeyAuthClientTest.java","131","482","2","0","0","0","0","0","0","NO"
"4","KeyAuthClientTest.java","131","542","2","0","0","0","0","0","0","NO"
"11","StandaloneTest.java","158","441","6","0","0","0","0","0","0","NO"
"5","KeyAuthClientTest.java","131","527","2","0","0","0","0","0","0","NO"
"12","StandaloneTest.java","158","403","6","0","0","0","0","0","0","NO"
"6","KeyAuthClientTest.java","131","519","2","0","0","0","0","0","0","NO"
"13","StandaloneTest.java","158","403","6","0","0","0","0","0","0","NO"
"7","KeyAuthClientTest.java","131","504","2","0","0","0","0","0","0","NO"
"14","StandaloneTest.java","158","400","6","0","0","0","0","0","0","NO"
"15","StandaloneTest.java","158","398","6","0","0","0","0","0","0","NO"
"1","KeyAuthClientTest.java","131","563","2","0","0","0","0","0","0","NO"
"16","StandaloneTest.java","158","391","6","0","0","0","0","0","0","NO"
"2","KeyAuthClientTest.java","131","558","2","0","0","0","0","0","0","NO"
"17","StandaloneTest.java","158","386","6","0","0","0","0","0","0","NO"
"3","KeyAuthClientTest.java","131","548","2","0","0","0","0","0","0","NO"
"18","StandaloneTest.java","158","367","6","0","0","0","0","0","0","NO"
"7","AsyncOps.java","842","504","8","181278","0","0","111102","-11","0","NO"
"6","AsyncOps.java","842","519","8","153398","0","0","98446","-11","0","NO"
"5","AsyncOps.java","842","527","8","0","0","0","0","0","0","NO"
"4","AsyncOps.java","842","542","8","0","0","0","0","0","0","NO"
"3","AsyncOps.java","842","548","8","0","0","0","0","0","0","NO"
"2","AsyncOps.java","842","558","8","79790","8","0","36054","38","8","NO"
"10","WatcherOrBitSet.java","62","457","2","0","0","0","0","0","0","NO"
"1","AsyncOps.java","842","563","8","0","0","0","0","0","0","YES"
"9","AsyncOps.java","842","482","8","0","0","0","0","0","0","NO"
"8","AsyncOps.java","842","490","8","205726","0","0","121721","-10","0","NO"
"9","AsyncCallback.java","351","482","9","0","0","0","0","0","0","NO"
"8","AsyncCallback.java","351","490","9","0","8","0","0","0","8","NO"
"1","AsyncCallback.java","351","563","9","0","0","0","0","0","0","NO"
"3","AsyncCallback.java","351","548","9","0","0","0","0","0","0","NO"
"2","AsyncCallback.java","351","558","9","0","0","0","0","0","0","NO"
"5","AsyncCallback.java","351","527","9","0","0","0","0","0","0","NO"
"4","AsyncCallback.java","351","542","9","0","23","0","0","0","23","NO"
"7","AsyncCallback.java","351","504","9","0","0","0","0","0","0","NO"
"6","AsyncCallback.java","351","519","9","0","0","0","0","0","0","NO"
"10","FLETest.java","506","457","7","0","0","0","0","0","0","YES"
"10","RepeatStartupTest.java","69","457","5","0","0","0","0","0","0","NO"
"1","WatchedEventTest.java","95","563","3","0","0","0","0","0","0","NO"
"3","WatchedEventTest.java","95","548","3","0","0","0","0","0","0","NO"
"2","WatchedEventTest.java","95","558","3","0","0","0","0","0","0","NO"
"19","RepeatStartupTest.java","69","359","5","0","0","0","0","0","0","NO"
"5","WatchedEventTest.java","95","527","3","0","0","0","0","0","0","NO"
"4","WatchedEventTest.java","95","542","3","0","0","0","0","0","0","NO"
"7","WatchedEventTest.java","95","504","3","0","0","0","0","0","0","NO"
"6","WatchedEventTest.java","95","519","3","0","0","0","0","0","0","NO"
"9","WatchedEventTest.java","95","482","3","0","0","0","0","0","0","NO"
"14","RepeatStartupTest.java","69","400","5","0","0","0","0","0","0","NO"
"8","WatchedEventTest.java","95","490","3","111118","0","0","40968","0","0","NO"
"13","RepeatStartupTest.java","69","403","5","0","0","0","0","0","0","NO"
"12","RepeatStartupTest.java","69","403","5","0","0","0","0","0","0","NO"
"11","RepeatStartupTest.java","69","441","5","195314","0","0","110913","1","0","NO"
"18","RepeatStartupTest.java","69","367","5","0","0","0","0","0","0","NO"
"17","RepeatStartupTest.java","69","386","5","0","0","0","0","0","0","NO"
"16","RepeatStartupTest.java","69","391","5","0","0","0","0","0","0","NO"
"15","RepeatStartupTest.java","69","398","5","0","0","0","0","0","0","NO"
"19","FLETest.java","506","359","7","0","0","0","0","0","0","NO"
"11","FLETest.java","506","441","7","185202","4","0","125533","-19","4","NO"
"12","FLETest.java","506","403","7","0","0","0","0","0","0","NO"
"13","FLETest.java","506","403","7","0","0","0","0","0","0","NO"
"14","FLETest.java","506","400","7","212918","0","0","126001","-19","0","NO"
"15","FLETest.java","506","398","7","0","0","0","0","0","0","NO"
"16","FLETest.java","506","391","7","0","0","0","0","0","0","NO"
"17","FLETest.java","506","386","7","221538","0","0","129378","-19","0","NO"
"18","FLETest.java","506","367","7","0","0","0","0","0","0","NO"
"6","AclParser.java","82","519","2","0","0","0","0","0","0","NO"
"7","AclParser.java","82","504","2","0","0","0","0","0","0","NO"
"4","AclParser.java","82","542","2","0","0","0","0","0","0","NO"
"5","AclParser.java","82","527","2","0","0","0","0","0","0","NO"
"2","AclParser.java","82","558","2","0","0","0","0","0","0","NO"
"3","AclParser.java","82","548","2","0","0","0","0","0","0","NO"
"1","AclParser.java","82","563","2","0","0","0","0","0","0","NO"
"8","AclParser.java","82","490","2","0","0","0","0","0","0","NO"
"9","AclParser.java","82","482","2","0","0","0","0","0","0","NO"
"5","ClientSSLTest.java","160","527","7","0","0","0","0","0","0","NO"
"4","ClientSSLTest.java","160","542","7","0","0","0","0","0","0","NO"
"7","ClientSSLTest.java","160","504","7","0","0","0","0","0","0","NO"
"6","ClientSSLTest.java","160","519","7","0","0","0","0","0","0","NO"
"1","ClientSSLTest.java","160","563","7","0","0","0","0","0","0","NO"
"3","ClientSSLTest.java","160","548","7","0","0","0","0","0","0","NO"
"2","ClientSSLTest.java","160","558","7","0","0","0","0","0","0","NO"
"9","ClientSSLTest.java","160","482","7","0","0","0","0","0","0","NO"
"8","ClientSSLTest.java","160","490","7","0","0","0","0","0","0","NO"
"7","CommandsTest.java","298","504","9","0","5","0","0","0","5","NO"
"6","CommandsTest.java","298","519","9","0","0","0","0","0","0","NO"
"5","CommandsTest.java","298","527","9","0","0","0","0","0","0","NO"
"4","CommandsTest.java","298","542","9","0","0","0","0","0","0","NO"
"10","ClientRetryTest.java","74","457","4","0","0","0","0","0","0","NO"
"3","CommandsTest.java","298","548","9","0","0","0","0","0","0","NO"
"2","CommandsTest.java","298","558","9","0","0","0","0","0","0","NO"
"1","CommandsTest.java","298","563","9","0","0","0","0","0","0","NO"
"9","CommandsTest.java","298","482","9","0","0","0","0","0","0","NO"
"8","CommandsTest.java","298","490","9","0","0","0","0","0","0","NO"
"3","ZKWatchManager.java","455","587","1","0","0","0","0","0","0","NO"
"2","ZKWatchManager.java","455","597","1","0","0","0","0","0","0","NO"
"1","ZKWatchManager.java","455","602","1","0","0","0","0","0","0","NO"
"7","ZKWatchManager.java","455","543","1","0","0","0","0","0","0","NO"
"6","ZKWatchManager.java","455","558","1","0","0","0","0","0","0","NO"
"5","ZKWatchManager.java","455","566","1","0","0","0","0","0","0","NO"
"4","ZKWatchManager.java","455","581","1","0","0","0","0","0","0","NO"
"9","ZKWatchManager.java","455","521","1","0","0","0","0","0","0","NO"
"8","ZKWatchManager.java","455","529","1","0","0","0","0","0","0","NO"
"19","ClientRetryTest.java","74","359","4","0","0","0","0","0","0","NO"
"15","ClientRetryTest.java","74","398","4","0","0","0","0","0","0","NO"
"16","ClientRetryTest.java","74","391","4","0","0","0","0","0","0","NO"
"17","ClientRetryTest.java","74","386","4","0","0","0","0","0","0","NO"
"18","ClientRetryTest.java","74","367","4","0","0","0","0","0","0","NO"
"11","ClientRetryTest.java","74","441","4","0","0","0","0","0","0","NO"
"12","ClientRetryTest.java","74","403","4","0","0","0","0","0","0","NO"
"13","ClientRetryTest.java","74","403","4","0","0","0","0","0","0","NO"
"14","ClientRetryTest.java","74","400","4","0","0","0","0","0","0","NO"
"7","ZooKeeperTest.java","688","504","14","0","0","0","0","0","0","NO"
"6","ZooKeeperTest.java","688","519","14","0","0","0","0","0","0","NO"
"5","ZooKeeperTest.java","688","527","14","0","0","0","0","0","0","NO"
"4","ZooKeeperTest.java","688","542","14","0","1","0","0","0","1","NO"
"3","ZooKeeperTest.java","688","548","14","0","0","0","0","0","0","NO"
"2","ZooKeeperTest.java","688","558","14","0","0","0","0","0","0","NO"
"1","ZooKeeperTest.java","688","563","14","0","0","0","0","0","0","NO"
"9","ZooKeeperTest.java","688","482","14","0","0","0","0","0","0","NO"
"8","ZooKeeperTest.java","688","490","14","0","0","0","0","0","0","NO"
"10","MalformedPathException.java","28","457","2","0","0","0","0","0","0","NO"
"11","MalformedPathException.java","28","441","2","0","0","0","0","0","0","NO"
"12","MalformedPathException.java","28","403","2","0","0","0","0","0","0","NO"
"13","MalformedPathException.java","28","403","2","0","0","0","0","0","0","NO"
"14","MalformedPathException.java","28","400","2","0","0","0","0","0","0","NO"
"9","ZooKeeperCriticalThreadMetricsTest.java","92","482","3","0","0","0","0","0","0","NO"
"15","MalformedPathException.java","28","398","2","0","0","0","0","0","0","NO"
"8","ZooKeeperCriticalThreadMetricsTest.java","92","490","3","0","0","0","0","0","0","NO"
"16","MalformedPathException.java","28","391","2","0","0","0","0","0","0","NO"
"17","MalformedPathException.java","28","386","2","0","0","0","0","0","0","NO"
"18","MalformedPathException.java","28","367","2","0","0","0","0","0","0","NO"
"5","ZooKeeperCriticalThreadMetricsTest.java","92","527","3","0","0","0","0","0","0","NO"
"19","MalformedPathException.java","28","359","2","0","0","0","0","0","0","NO"
"4","ZooKeeperCriticalThreadMetricsTest.java","92","542","3","0","0","0","0","0","0","NO"
"7","ZooKeeperCriticalThreadMetricsTest.java","92","504","3","0","0","0","0","0","0","NO"
"6","ZooKeeperCriticalThreadMetricsTest.java","92","519","3","0","0","0","0","0","0","NO"
"1","ZooKeeperCriticalThreadMetricsTest.java","92","563","3","0","0","0","0","0","0","NO"
"3","ZooKeeperCriticalThreadMetricsTest.java","92","548","3","0","0","0","0","0","0","NO"
"2","ZooKeeperCriticalThreadMetricsTest.java","92","558","3","0","0","0","0","0","0","NO"
"10","EnvCommand.java","44","457","2","0","0","0","0","0","0","NO"
"9","ObserverMaster.java","542","482","5","0","6","6","0","0","6","NO"
"8","ObserverMaster.java","542","490","5","0","0","0","0","0","0","NO"
"1","ObserverMaster.java","542","563","5","0","0","0","0","0","0","NO"
"3","ObserverMaster.java","542","548","5","0","0","0","0","0","0","NO"
"2","ObserverMaster.java","542","558","5","0","0","0","0","0","0","NO"
"5","ObserverMaster.java","542","527","5","0","0","0","0","0","0","NO"
"4","ObserverMaster.java","542","542","5","0","11","0","0","0","11","NO"
