"Class","Index","ChgSetSize"
"NettyServerCnxn.java","9","0"
"FastLeaderElection.java","6","1"
"ZooKeeperMain.java","11","1"
"StatTest.java","9","3"
"WatchEventWhenAutoResetTest.java","9","0"
"DataTreeTest.java","11","2"
"ClientBase.java","4","3"
"FileTxnSnapLog.java","10","1"
"FLEBackwardElectionRoundTest.java","6","0"
"QuorumUtil.java","7","2"
"FLETest.java","4","0"
"ZooKeeper.java","18","6"
"QuorumPeer.java","1","0"
"KeeperStateTest.java","2","1"
"ZNodeNameTest.java","4","6"
"BaseSysTest.java","2","6"
"QuorumPeerConfig.java","6","3"
"QuorumBase.java","11","0"
"FileTxnSnapLog.java","4","0"
"NIOServerCnxn.java","2","0"
"FileSnap.java","7","5"
"QuorumPeerInstance.java","3","0"
"LearnerHandler.java","9","1"
"LearnerHandler.java","17","0"
"Zab1_0Test.java","17","0"
"FileTxnLog.java","4","0"
"ClientCnxnSocketFragilityTest.java","9","1"
"DatadirCleanupManager.java","4","2"
"WrappedAuthenticationProvider.java","11","8"
"ZooKeeper.java","1","2"
"Learner.java","9","0"
"NIOServerCnxn.java","7","0"
"NIOServerCnxnTest.java","3","1"
"QuorumPeer.java","8","2"
"ClientCnxn.java","11","0"
"ClientCnxn.java","8","0"
"ReadOnlyModeTest.java","11","1"
"BinaryInputArchive.java","6","1"
"QuorumPeer.java","8","5"
"ZooKeeperSaslClient.java","10","1"
"ClientCnxn.java","9","0"
"QuorumPeer.java","4","2"
"SaslAuthDesignatedClientTest.java","2","1"
"SaslServerCallbackHandler.java","5","0"
"ZKDatabase.java","11","3"
"FLELostMessageTest.java","18","3"
"FLETest.java","4","0"
"ZooKeeper.java","11","9"
"ZooKeeper.java","11","1"
"ZooKeeper.java","9","2"
"SessionTrackerImpl.java","2","0"
"SessionTrackerImpl.java","2","0"
"ServerCnxnFactory.java","8","4"
"QuorumCnxManager.java","11","0"
"QuorumPeer.java","6","1"
"QuorumCnxManager.java","11","0"
"SessionTrackerImpl.java","6","7"
"PathUtils.java","11","3"
"AsyncOpsTest.java","9","2"
"DataNode.java","15","2"
"QuorumPeer.java","17","17"
"ZNodeResource.java","4","20"
"Leader.java","4","4"
"FLETest.java","4","0"
"ManagedUtil.java","11","0"
"ClientCnxn.java","8","3"
"QuorumPeer.java","8","2"
"ZooKeeperSaslClient.java","8","2"
"DelQuotaCommand.java","7","12"
"QuorumCnxManager.java","9","0"
"FileTxnLog.java","6","0"
"AsyncCallback.java","4","23"
"ClientBase.java","11","2"
"QuorumPeer.java","4","8"
"FourLetterWordsTest.java","15","6"
"QuorumPeer.java","4","1"
"FileTxnLog.java","15","5"
"ClientTest.java","11","3"
"PrepRequestProcessor.java","2","0"
"PurgeTxnTest.java","11","0"
"ClientCnxn.java","5","0"
"ServerConfigTest.java","11","0"
"RequestThrottler.java","15","9"
"SessionTimeoutTest.java","18","1"
"ZooKeeperTest.java","14","0"
"ClientCnxnSocketNIO.java","9","2"
"Commands.java","7","0"
"ContainerManager.java","1","0"
"TraceFormatter.java","2","3"
"ZooKeeperMain.java","9","6"
"ConsCommand.java","16","11"
"LearnerHandler.java","15","1"
"LearnerHandlerTest.java","6","1"
"LearnerSessionTracker.java","5","1"
"KerberosName.java","15","0"
"Environment.java","18","0"
"LearnerMaster.java","11","149"
"ZooKeeper.java","2","2"
"Version.java","10","0"
"ServerMetricsTest.java","13","6"
"ObserverZooKeeperServer.java","7","3"
"ReconfigTest.java","11","7"
"Login.java","9","3"
"Learner.java","15","3"
"SyncRequestProcessor.java","11","2"
"SaslAuthFailDesignatedClientTest.java","4","0"
"LearnerZooKeeperServer.java","16","0"
"FinalRequestProcessor.java","11","1"
"PurgeTxnTest.java","17","1"
"FileChangeWatcher.java","16","0"
"Zab1_0Test.java","13","1"
"ManagedUtil.java","7","0"
"LearnerHandler.java","9","2"
"AuthTest.java","9","0"
"Learner.java","10","2"
"ClientTest.java","4","1"
"CnxManagerTest.java","10","1"
"FilterOp.java","9","46"
"QuorumPeer.java","5","13"
"FileTxnSnapLog.java","7","6"
"Leader.java","11","2"
"ReconfigTest.java","11","2"
"Learner.java","2","0"
"AtomicFileOutputStream.java","11","0"
"ZooKeeperServer.java","11","1"
"ZooKeeperServer.java","11","1"
"QuorumPeerConfig.java","15","1"
"ZooKeeperTest.java","16","0"
"ServerCnxnFactory.java","4","0"
"FinalRequestProcessor.java","11","0"
"JRecord.java","9","0"
"CnxManagerTest.java","11","1"
"StaticHostProvider.java","18","0"
"ZooKeeperServerMainTest.java","7","0"
"InvalidSnapshotTest.java","2","0"
"Zab1_0Test.java","6","1"
"NIOServerCnxn.java","4","0"
"ZooTrace.java","16","0"
"PurgeTxnTest.java","9","0"
"CppGenerator.java","9","7"
"OSMXBean.java","13","6"
"SaslQuorumAuthLearner.java","2","1"
