"Class","Index","ChgSetSize"
"QuorumPeerInstance.java","8","2"
"Learner.java","7","1"
"ZooKeeperServerTest.java","11","1"
"QuorumPeerMainTest.java","2","9"
"SyncRequestProcessor.java","9","0"
"JUnit4ZKTestRunner.java","1","0"
"LoadFromLogTest.java","11","0"
"RestoreCommittedLogTest.java","13","6"
"NIOServerCnxnFactory.java","11","0"
"ReferenceCountedACLCache.java","6","1"
"DataTree.java","17","1"
"ZkDatabaseCorruptionTest.java","2","1"
"SledgeHammer.java","7","0"
"ZkDatabaseCorruptionTest.java","6","0"
"JRecord.java","7","13"
"SessionTrackerImpl.java","4","5"
"QuorumCnxManager.java","9","1"
"QuorumCnxManager.java","7","0"
"BlueThrottle.java","11","6"
"ZKDatabase.java","5","0"
"QuorumRestartTest.java","8","3"
"QuorumPeerMainTest.java","9","0"
"BinaryInputArchive.java","11","1"
"DataTree.java","7","7"
"ClientTest.java","2","2"
"ReadOnlyModeTest.java","11","4"
"ReadOnlyRequestProcessor.java","11","18"
"LearnerHandler.java","4","10"
"AvgMinMaxPercentileCounterSetTest.java","11","7"
"BinaryInputArchive.java","11","1"
"LocalPeerBeanTest.java","11","1"
"PrepRequestProcessor.java","9","14"
"ACLCountTest.java","11","1"
"FileTxnSnapLogMetricsTest.java","5","623"
"EnsembleAuthenticationProvider.java","4","4"
"ZooKeeperMain.java","11","1"
"QuorumServerTest.java","2","1"
"FastLeaderElection.java","6","0"
"QuorumCnxManager.java","11","2"
"FollowerRequestProcessor.java","4","0"
"FileTxnLog.java","10","1"
"QuorumPeer.java","11","1"
"CommitProcessorMetricsTest.java","4","0"
"CGenerator.java","4","9"
"AckRequestProcessor.java","4","4"
"ZooKeeperServerMXBean.java","17","10"
"ZooKeeperServerMXBean.java","17","8"
"ClientTest.java","4","21"
"ZooKeeperServer.java","9","1"
"QuorumCnxManager.java","7","0"
"Observer.java","9","3"
"JRecord.java","7","2"
"ClientCnxnSocketNIO.java","11","0"
"QuorumKerberosAuthTest.java","11","5"
"FLETest.java","4","0"
"DataTree.java","6","2"
"FastLeaderElection.java","2","1"
"FLETest.java","5","27"
"ZooKeeperMain.java","2","11"
"ClientX509Util.java","7","26"
"ChrootAsyncTest.java","4","6"
"QuorumVerifier.java","5","2"
"ZooKeeperServerMXBean.java","2","38"
"TestableZooKeeper.java","1","0"
"ServerStatsTest.java","11","0"
"OutputArchive.java","4","4"
"ZooKeeperServer.java","17","0"
"FileTxnLogTest.java","1","1"
"SaslAuthTest.java","11","1"
"QuorumCnxManager.java","5","9"
"ZooKeeper.java","2","0"
"NullDataTest.java","1","1"
"PrepRequestProcessor.java","11","1"
"FileTxnLog.java","4","0"
"LocalPeerBean.java","5","8"
"DisconnectedWatcherTest.java","11","1"
"ClientBase.java","4","1"
"QuorumPeer.java","7","0"
"ZooKeeperServerMain.java","1","2"
"QuorumTest.java","7","11"
"ServerStats.java","2","0"
"ZooDefs.java","7","0"
"InstanceContainer.java","2","9"
"ZooKeeperMain.java","5","0"
"ConnectionBean.java","7","1"
"FastLeaderElection.java","4","2"
"JsonOutputter.java","7","0"
"FileTxnSnapLog.java","11","1"
"CnxManagerTest.java","11","2"
"WatcherTest.java","1","0"
"EphemeralType.java","9","2"
"ServerConfig.java","13","9"
"QuorumCnxManager.java","14","0"
"NettyServerCnxnFactory.java","11","0"
"TxnLogToolkitTest.java","4","1"
"ChrootTest.java","7","1"
"QuorumPeerMainTest.java","7","0"
"TestableZooKeeper.java","1","3"
"FileTxnLog.java","7","1"
"FileTxnSnapLog.java","4","10"
"ZooDefs.java","4","0"
"StandaloneDisabledTest.java","4","0"
"InvalidSnapshotTest.java","7","1"
"DataTree.java","4","12"
"FileSnap.java","11","0"
"QuorumPeer.java","7","0"
"QuorumPeer.java","3","0"
"DataNode.java","15","0"
"FileTxnLog.java","11","0"
"QuorumPeerMainTest.java","7","0"
"QuorumPeer.java","8","3"
"FastLeaderElection.java","6","1"
"CRCTest.java","4","0"
"WatchedEvent.java","9","1"
"JLineZNodeCompleter.java","4","1"
"QuorumPeer.java","4","1"
"Leader.java","11","0"
"ClientCnxn.java","2","0"
"FatJarMain.java","2","0"
"LearnerHandler.java","18","14"
"ClientTest.java","7","1"
"SessionTrackerImpl.java","3","19"
"FLENewEpochTest.java","4","1"
"FileTxnSnapLog.java","7","8"
"AsyncOps.java","18","1"
"ObserverHierarchicalQuorumTest.java","6","18"
"FLETest.java","11","4"
"InvalidSnapshotTest.java","4","3"
"ZNodeNameTest.java","11","1"
"ByteBufferInputStream.java","11","1"
"QuorumDigestAuthTest.java","6","41"
"CRCTest.java","8","2"
"LearnerSyncRequest.java","2","0"
"LearnerHandlerTest.java","11","6"
"QuorumPeerConfig.java","8","0"
"StaticHostProviderTest.java","4","1"
"SerializeUtilsTest.java","11","14"
"ZkDatabaseCorruptionTest.java","2","0"
"QuorumPeerConfig.java","4","0"
"CRCTest.java","4","11"
"FileTxnSnapLog.java","6","1"
"RemoveWatchesCmdTest.java","11","1"
"AtomicFileWritingIdiomTest.java","11","4"
"LoadFromLogNoServerTest.java","11","1"
"CommitProcessor.java","6","0"
"FileTxnLog.java","4","0"
"NettyServerCnxn.java","5","1"
"LocalSessionTracker.java","4","15"
"QuorumUtil.java","5","1"
"EphemeralNodeDeletionTest.java","2","0"
"ServerCnxnFactory.java","8","0"
"TxnLogToolkit.java","4","0"
"QuorumCnxManager.java","3","6"
"CreateCommand.java","6","14"
"QuorumPeer.java","11","3"
"ClientReconnectTest.java","16","3"
"DeserializationPerfTest.java","11","0"
"ZooKeeperServer.java","6","0"
"WatcherTest.java","4","0"
"CreateCommand.java","4","4"
"QuorumTest.java","9","3"
"QuorumPeerMainTest.java","8","0"
"CnxManagerTest.java","11","4"
"ReadOnlyModeTest.java","18","1"
"ZooKeeperServer.java","8","0"
"SaslAuthRequiredFailNoSASLTest.java","6","5"
"RequestThrottler.java","11","1"
"Learner.java","11","0"
"PrepRequestProcessor.java","15","2"
"FileTxnSnapLogTest.java","7","4"
"MultiOpSessionUpgradeTest.java","11","1"
"FileChangeWatcherTest.java","6","0"
"QuorumPeerTestBase.java","9","1"
"QuorumPeerConfig.java","9","0"
"Learner.java","9","1"
"NIOConnectionFactoryFdLeakTest.java","5","1"
"ServerCnxnTest.java","5","0"
"CommitProcessorConcurrencyTest.java","11","1"
"SessionTrackerTest.java","9","0"
"MultiAsyncTransactionTest.java","6","0"
"ZkDatabaseCorruptionTest.java","8","0"
"LeaderWithObserverTest.java","11","3"
"PathUtilsTest.java","16","0"
"StandaloneDisabledTest.java","8","0"
"ZooKeeperMain.java","4","1"
"StatCommand.java","15","15"
"ObserverRequestProcessor.java","4","3"
"TruncateTest.java","4","1"
"ZooKeeperSaslClient.java","15","0"
"GetProposalFromTxnTest.java","11","0"
"FourLetterWordsQuorumTest.java","5","3"
"StringUtils.java","6","2"
"ClientCnxnSocketNetty.java","2","0"
"QuorumPeer.java","11","1"
"ZKTestCase.java","4","16"
"SaslServerCallbackHandler.java","11","0"
"NIOServerCnxnFactory.java","11","1"
"ClientCnxnSocketNIO.java","9","2"
"LeaderBeanTest.java","4","1"
"TruncateTest.java","11","2"
"ClientCnxn.java","2","1"
"PrepRequestProcessor.java","11","3"
"ConfigUtils.java","2","0"
"PathTrie.java","9","2"
"StandaloneDisabledTest.java","3","4"
"ACLTest.java","6","1"
"PrepRequestProcessor.java","17","0"
"ReconfigCommand.java","7","0"
"ZKConfigTest.java","11","1"
"ZxidRolloverTest.java","17","0"
"ClientCnxnSocketNIO.java","18","3"
"FileTxnLog.java","2","4"
"UnifiedServerSocket.java","9","1"
"StaticHostProviderTest.java","5","0"
