"Date","Class","MAXLOC","AVGLOC","Index"
"2019-08-17 17:13","RequestProcessor.java","256904","8",""
"2019-08-17 17:13","LearnerMetricsTest.java","65446","3",""
"2019-10-10 14:37","UnifiedServerSocket.java","116649","0",""
"2020-03-25 03:38","QuorumZooKeeperServer.java","270847","8",""
"2020-02-12 15:52","JBuffer.java","268555","-9",""
"2019-08-17 17:13","WatchManagerOptimized.java","174218","-7",""
"2019-04-09 15:35","ClientCnxnSocket.java","260738","-6",""
"2019-04-22 19:15","SessionTrackerImpl.java","270955","-20",""
"2020-05-14 18:18","QuorumPeerConfigTest.java","271373","-18",""
"2019-12-27 22:33","PrepRequestProcessorTest.java","266269","8",""
"2019-09-18 11:20","WatcherTest.java","260622","7",""
"2019-08-17 17:13","EagerACLFilterTest.java","24433","0",""
"2017-11-28 00:10","FLEPredicateTest.java","256154","3",""
"2009-06-26 22:29","SessionTrackerImpl.java","92998","7","4"
"2009-11-07 01:48","SessionTrackerImpl.java","99761","0","6"
"2010-01-26 01:17","SessionTrackerImpl.java","112286","0","7"
"2010-07-05 20:20","WatcherTest.java","122928","7","9"
"2009-01-16 00:48","SessionTrackerImpl.java","39341","0","2"
"2019-09-18 11:20","SessionTimeoutTest.java","257923","0",""
"2019-08-17 17:13","VersionCommand.java","44833","0",""
"2009-07-17 00:09","WatcherTest.java","83000","15","5"
"2020-01-22 11:08","QuorumAuthTestBase.java","267491","-17",""
"2011-04-12 09:14","Base.java","72010","-10","11"
"2010-05-05 22:32","QuorumZooKeeperServer.java","5595","0","8"
"2009-09-16 02:09","WatcherTest.java","85825","16","6"
"2010-08-18 08:24","SessionTrackerImpl.java","142314","2","9"
"2008-11-19 11:20","WatcherTest.java","23810","16","1"
"2019-08-17 17:13","LogChopperTest.java","174233","0",""
"2011-04-12 09:14","ClientTest.java","144025","2","11"
"2019-08-17 17:13","WrappedAuthenticationProvider.java","255292","0",""
"2020-01-25 18:48","ReconfigDuringLeaderSyncTest.java","267583","5",""
"2019-08-17 17:13","OSMXBeanTest.java","260217","-6",""
"2012-03-15 17:47","ProposalRequestProcessor.java","148356","-26","16"
"2012-10-31 19:38","ClientTest.java","151880","5","19"
"2011-10-20 20:02","ProposalRequestProcessor.java","144477","0","11"
"2019-08-17 17:13","Quotas.java","257687","0",""
"2009-06-18 18:37","DataNode.java","70653","29","4"
"2019-10-10 14:37","SaslQuorumAuthServer.java","258833","-71",""
"2009-11-12 23:48","DataNode.java","90759","29","6"
"2009-07-17 00:09","OOMTest.java","94241","0","5"
"2008-11-19 00:42","DataNode.java","19143","30","1"
"2019-07-12 17:01","FLERestartTest.java","261253","0",""
"2011-10-28 18:37","ObserverRequestProcessor.java","58849","1","11"
"2009-02-03 06:23","DataNode.java","37855","30","2"
"2010-08-18 08:24","OOMTest.java","142742","4","9"
"2010-03-31 06:26","OOMTest.java","122885","0","8"
"2017-09-11 18:55","FilterOp.java","99601","0",""
"2019-08-27 09:23","LeaderElectionAware.java","257497","0",""
"2019-08-17 17:13","MonitorCommand.java","255967","2",""
"2018-02-07 01:05","LeaderMXBean.java","257706","28",""
"2019-07-29 17:15","RecordReader.java","254361","0",""
"2019-07-29 17:15","TestWriter.java","38161","0",""
"2010-03-31 06:26","MaxCnxnsTest.java","25855","0","8"
"2017-11-28 00:10","RaceConditionTest.java","255887","18",""
"2019-11-11 13:59","DigestAuthenticationProvider.java","265116","-18",""
"2019-08-17 17:13","ObserverLETest.java","256650","0",""
"2019-08-17 17:13","Shell.java","256904","-21",""
"2019-11-21 05:58","WatchLeakTest.java","260876","6",""
"2019-12-28 16:17","GetAllChildrenNumberTest.java","68347","0",""
"2019-08-17 17:13","LeaderMetricsTest.java","43400","0",""
"2019-08-17 17:13","ExitCode.java","256089","-2",""
"2019-08-17 17:13","LoadFromLogNoServerTest.java","258833","0",""
"2009-06-09 07:21","DigestAuthenticationProvider.java","49075","0","4"
"2010-01-25 04:28","DigestAuthenticationProvider.java","79118","0","7"
"2019-08-05 15:29","ExportJvmInfoTest.java","19464","0",""
"2017-01-13 19:29","AtomicFileOutputStreamTest.java","256464","11",""
"2011-04-12 09:14","QuorumVerifier.java","83159","-11","11"
"2013-12-21 22:05","MaxCnxnsTest.java","257179","2",""
"2019-03-11 21:56","DisconnectedWatcherTest.java","256761","-35",""
"2019-08-17 17:13","SyncThrottleException.java","28807","0",""
"2012-04-23 01:20","QuorumVerifier.java","97889","-11","17"
"2010-08-18 08:24","DigestAuthenticationProvider.java","110256","12","9"
"2012-09-28 18:32","ZooKeeperSaslClient.java","16624","-15","19"
"2009-07-17 00:09","FLERestartTest.java","597","0","5"
"2019-08-17 17:13","FileKeyStoreLoaderBuilderProviderTest.java","68806","0",""
"2019-09-18 11:20","OOMTest.java","260754","11",""
"2019-08-17 17:13","CommandResponse.java","256151","0",""
"2019-08-17 17:13","DelQuotaCommand.java","256502","5",""
"2019-10-10 14:37","DuplicateLocalSessionUpgradeTest.java","260120","-9",""
"2010-03-13 01:06","FLERestartTest.java","39928","13","7"
"2019-12-27 22:33","DataNode.java","266841","22",""
"2011-09-27 04:06","ZooKeeperSaslClient.java","3937","0","11"
"2012-02-06 09:34","ZooKeeperSaslClient.java","8735","0","15"
"2019-10-10 14:37","ReferenceCountedACLCache.java","259640","-14",""
"2010-03-31 06:26","FLERestartTest.java","41489","13","8"
"2019-08-17 17:13","CloseCommand.java","256502","1",""
"2012-09-09 20:24","ZooKeeperSaslClient.java","16436","-15","18"
"2012-12-19 19:07","NIOServerCnxn.java","268681","22",""
"2020-05-14 18:18","QuorumPeerConfig.java","272028","-3",""
"2019-08-17 17:13","NullQuorumAuthLearner.java","255079","0",""
"2011-10-27 23:25","ObserverZooKeeperServer.java","58807","-19","11"
"2019-11-08 17:30","WatchManagerTest.java","180888","10",""
"2009-06-15 22:52","FollowerRequestProcessor.java","94726","-17","4"
"2010-04-22 07:42","ZNodeResource.java","55038","0","8"
"2016-12-20 14:47","Follower.java","266841","9",""
"2019-11-11 13:55","CommitProcessorTest.java","262200","0",""
"2010-08-17 09:24","ZNodeResource.java","73013","0","9"
"2009-01-16 00:48","FollowerRequestProcessor.java","50230","24","2"
"2019-10-10 14:37","Leader.java","270948","-26",""
"2010-08-18 08:24","FollowerRequestProcessor.java","152416","-10","9"
"2011-04-12 09:14","ObserverQuorumHammerTest.java","46141","0","11"
"2009-02-20 01:23","Follower.java","54394","2","3"
"2009-01-15 23:57","Follower.java","39850","-13","2"
"2020-02-04 10:39","SaslQuorumAuthLearner.java","267335","0",""
"2010-08-18 08:24","Leader.java","142314","-19","9"
"2010-01-25 04:28","Follower.java","112317","3","7"
"2019-11-20 07:00","Commands.java","264194","13",""
"2020-05-05 21:20","FollowerRequestProcessor.java","271979","2",""
"2009-11-20 23:28","Follower.java","108271","3","6"
"2009-06-15 22:52","Follower.java","84761","-6","4"
"2019-08-17 17:13","QuorumAuth.java","255079","0",""
"2009-08-27 20:07","Leader.java","95560","16","5"
"2011-04-12 09:14","ZNodeName.java","83817","0","11"
"2019-08-17 17:13","KerberosSecurityTestcase.java","255079","0",""
"2009-05-20 22:16","Leader.java","80703","-16","4"
"2010-08-18 08:24","Follower.java","142742","8","9"
"2009-10-30 17:19","Leader.java","107501","8","6"
"2019-08-17 17:13","StatPrinter.java","256502","0",""
"2009-02-20 01:23","Leader.java","53712","50","3"
"2009-01-15 23:57","Leader.java","39154","11","2"
"2009-03-05 22:33","QuorumPeerConfig.java","21832","0","3"
"2011-04-12 09:14","TransactionEntry.java","14937","0","11"
"2019-08-17 17:13","Election.java","257710","-11",""
"2019-10-10 14:37","UnifiedServerSocketModeDetectionTest.java","71822","0",""
"2009-02-03 23:19","NIOServerCnxn.java","15880","0","2"
"2010-03-12 19:26","QuorumPeerConfig.java","91375","13","7"
"2019-08-17 17:13","KeyStoreFileTypeTest.java","68806","0",""
"2009-11-18 20:06","QuorumPeerConfig.java","76901","19","6"
"2011-04-12 09:14","InstanceContainer.java","105170","-19","11"
"2009-06-15 22:52","NIOServerCnxn.java","47649","14","4"
"2009-08-11 00:24","QuorumPeerConfig.java","63704","-23","5"
"2010-03-09 03:00","NIOServerCnxn.java","86690","-4","7"
"2009-06-05 06:44","QuorumPeerConfig.java","51231","10","4"
"2009-11-12 20:53","NIOServerCnxn.java","72872","-18","6"
"2010-08-18 08:24","NIOServerCnxn.java","108101","-4","9"
"2019-08-17 17:13","WatchesSummaryTest.java","256151","1",""
